solvent,SMILES,c,e,s,a,b,v,mp øC,bp øC
methyl acetate,O=C(OC)C,0.351,0.223,-0.150,-1.035,-4.527,3.972,-98,44
ethyl acetate,O=C(OCC)C,0.328,0.369,-0.446,-0.700,-4.904,4.150,-83.6,73.9
butyl acetate,O=C(OCCCC)C,0.248,0.356,-0.501,-0.867,-4.973,4.281,-78,126.6
isopropyl myristate,O=C(OC(C)C)CCCCCCCCCCCCC,-0.605,0.930,-1.153,-1.682,-4.093,4.249,-3,319.9
N-methylacetamide,O=C(NC)C,0.090,0.205,-0.172,1.305,-4.589,3.833,27,206
N-ethylacetamide,O=C(NCC)C,0.284,0.128,-0.442,1.180,-4.728,3.856,-32,205
dimethylacetamide,O=C(N)C(C)C,-0.271,0.084,0.209,0.915,-5.003,4.557,-20,221.4
"N,N-diethylacetamide",O=C(N(CC)CC)C,0.213,0.034,0.089,1.342,-5.084,4.088,-37 est.,185.5
formamide,O=CN,-0.171,0.070,0.308,0.589,-3.152,2.432,2,210.5
N-methylformamide,O=CNC,0.114,0.407,-0.287,0.542,-4.085,3.471,-3.5,182.5
N-ethylformamide,O=CNCC,0.220,0.034,-0.166,0.935,-4.589,3.730,25 est.,185.7
DMF,O=CN(C)C,-0.305,-0.058,0.343,0.358,-4.865,4.486,-61,153
dibutylformamide,O=C(NCCCC)CCCC,0.332,0.302,-0.436,0.358,-4.902,3.952,-30,246.7
methanol,CO,0.276,0.334,-0.714,0.243,-3.320,3.549,-98,64.7
ethanol,CCO,0.222,0.471,-1.035,0.326,-3.596,3.857,-114.1,78.2
water,O,0.000,0.000,0.000,0.000,0.000,0.000,0,100
1-propanol,CCCO,0.139,0.405,-1.029,0.247,-3.767,3.986,-126,95.8
2-propanol,CC(O)C,0.099,0.343,-1.049,0.406,-3.827,4.033,-88.5,73
2-methyl-1-propanol,OCC(C)C,0.188,0.354,-1.127,0.016,-3.568,3.968,-108,105
2-methyl-2-propanol,OC(C)(C)C,0.211,0.171,-0.947,0.331,-4.085,4.109,25,84.6
1-butanol,CCCCO,0.165,0.401,-1.011,0.056,-3.958,4.044,-89.5,117.7
2-butanol,OC(C)CC,0.127,0.253,-0.976,0.158,-3.882,4.114,-115,96.6
3-methyl-1-butanol,OCCC(C)C,0.073,0.360,-1.273,0.090,-3.770,4.399,-117,131.2
1-pentanol,OCCCCC,0.150,0.536,-1.229,0.141,-3.864,4.077,-79,138.5
2-pentanol,OC(C)CCC,0.115,0.455,-1.331,0.206,-3.745,4.201,-50,118.8
1-hexanol,OCCCCCC,0.115,0.492,-1.164,0.054,-3.978,4.131,-52,158.2
1-heptanol,OCCCCCCC,0.035,0.398,-1.063,0.002,-4.342,4.317,-35,176.9
1-octanol,OCCCCCCCC,-0.034,0.489,-1.044,-0.024,-4.235,4.218,-16,194.7
1-decanol,OCCCCCCCCCC,-0.058,0.616,-1.319,0.026,-4.153,4.279,6.5,227.8
octadecanol,OCCCCCCCC\C=C/CCCCCCCC,-0.096,0.148,-0.841,-0.438,-4.040,4.125,-75,333
pentane,CCCCC,0.369,0.386,-1.568,-3.535,-5.215,4.514,-129.7,35.2
hexane,CCCCCC,0.333,0.560,-1.710,-3.578,-4.939,4.463,-95,68.5
heptane,CCCCCCC,0.297,0.643,-1.755,-3.571,-4.946,4.488,-90.6,98.8
octane,CCCCCCCC,0.231,0.738,-1.840,-3.585,-4.907,4.502,-57,126.4
nonane,CCCCCCCCC,0.240,0.619,-1.713,-3.532,-4.921,4.482,-53,151.7
decane,C(CCCCCCCC)C,0.186,0.722,-1.741,-3.449,-4.970,4.476,-30,174.9
undecane,C(CCCCCCCC)CC,0.058,0.603,-1.661,-3.421,-5.120,4.619,-26,196.3
dodecane,C(CCCCCCCC)CCC,0.114,0.668,-1.644,-3.545,-5.006,4.459,-9.6,216.1
hexadecane,CCCCCCCCCCCCCCCC,0.087,0.667,-1.617,-3.587,-4.869,4.433,18,286.6
"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,0.320,0.511,-1.685,-3.687,-4.811,4.399,-107,98.8
"1,9-decadiene",C(=C)\CCCCCC\C=C,0.104,0.615,-1.796,-3.070,-4.291,4.518,-65.3,169
1-hexadecene,C=C\CCCCCCCCCCCCCC,0.116,0.706,-1.616,-3.181,-4.796,4.322,4,285
"1,2-dichloroethane",ClCCCl,0.183,0.294,-0.134,-2.801,-4.291,4.180,-35,83.5
1-chlorobutane,ClCCCC,0.222,0.273,-0.569,-2.918,-4.883,4.456,-123,78.2
dichloromethane,C(Cl)Cl,0.319,0.102,-0.187,-3.058,-4.090,4.324,-95,39.6
chloroform,C(Cl)(Cl)Cl,0.191,0.105,-0.403,-3.112,-3.514,4.395,-63.7,61.2
carbon tetrachloride,ClC(Cl)(Cl)Cl,0.199,0.523,-1.159,-3.560,-4.594,4.618,-22.4,76
trifluoroethanol,FC(F)(F)CO,0.395,-0.094,-0.594,-1.280,-1.274,3.088,-45,74
diethyl ether,CCOCC,0.350,0.358,-0.820,-0.588,-4.956,4.350,-116.3,33.2
dibutyl ether,O(CCCC)CCCC,0.176,0.394,-0.985,-1.414,-5.357,4.524,-95,142.1
methyl tert-butyl ether,O(C(C)(C)C)C,0.341,0.307,-0.817,-0.618,-5.097,4.425,-109,55.2
benzene,c1ccccc1,0.142,0.464,-0.588,-3.009,-4.625,4.491,5.5,78.8
fluorobenzene,Fc1ccccc1,0.139,0.152,-0.374,-3.030,-4.601,4.540,-40,84.7
chlorobenzene,Clc1ccccc1,0.065,0.381,-0.521,-3.183,-4.700,4.614,-45.6,131.7
bromobenzene,Brc1ccccc1,-0.017,0.436,-0.424,-3.174,-4.558,4.445,-30.8,154.2
iodobenzene,Ic1ccccc1,-0.192,0.298,-0.308,-3.213,-4.653,4.588,-29,188.3
toluene,c1ccccc1C,0.125,0.431,-0.644,-3.002,-4.748,4.524,-93,110.6
ethylbenzene,CCc1ccccc1,0.093,0.467,-0.723,-3.001,-4.844,4.514,-94.95,136
m-xylene,Cc1cccc(c1)C,0.122,0.377,-0.603,-2.981,-4.961,4.535,-47,138.5
o-xylene,Cc1ccccc1C,0.083,0.518,-0.813,-2.884,-4.821,4.559,-24,144
p-xylene,Cc1ccc(cc1)C,0.166,0.477,-0.812,-2.939,-4.874,4.532,12.5,137.5
nitrobenzene,[O-][N+](=O)c1ccccc1,-0.196,0.537,0.042,-2.328,-4.608,4.314,5,210.8
cyclohexane,C1CCCCC1,0.159,0.784,-1.678,-3.740,-4.929,4.577,6.6,80.7
nitromethane,[O-][N+](=O)C,0.023,-0.091,0.793,-1.463,-4.364,3.460,-29,85.1
methylcyclohexane,CC1CCCCC1,0.246,0.782,-1.982,-3.517,-4.293,4.528,-126,101.1
THF,C1CCOC1,0.223,0.363,-0.384,-0.238,-4.932,4.450,-108.4,68.3
"1,4-dioxane",O1CCOCC1,0.123,0.347,-0.033,-0.582,-4.810,4.110,11.8,102.9
propylene carbonate,CC1COC(=O)O1,0.004,0.168,0.504,-1.283,-4.407,3.421,-49,241.5
cyclohexanone,O=C1CCCCC1,0.038,0.225,0.058,-0.976,-4.842,4.315,-26,155.7
N-methylpyrrolidinone,O=C1N(C)CCC1,0.147,0.532,0.225,0.840,-4.794,3.674,-24,202
N-methyl-2-piperidone,O=C1N(C)CCCC1,0.056,0.332,0.257,1.556,-5.035,3.983,23 est.,227.8
N-formylmorpholine,O=CN1CCOCC1,-0.032,0.696,-0.062,0.014,-4.092,3.405,21.5,236.5
benzonitrile,c1ccc(cc1)C#N,0.097,0.285,0.059,-1.605,-4.562,4.028,-13,191
acetonitrile,CC#N,0.413,0.077,0.326,-1.566,-4.391,3.364,-46,63.5
ethylene glycol,OCCO,-0.270,0.578,-0.511,0.715,-2.619,2.729,-13,197.5
acetone,CC(=O)C,0.313,0.312,-0.121,-0.608,-4.753,3.942,-94.3,56
butanone,O=C(C)CC,0.246,0.256,-0.080,-0.767,-4.855,4.148,-87,75.6
DMSO,CS(=O)C,-0.194,0.327,0.791,1.260,-4.540,3.361,18.4,189
carbon disulfide,S=C=S,0.047,0.686,-0.943,-3.603,-5.818,4.921,-112,46.2
sulfolane,C1CCS(=O)(=O)C1,0.000,0.147,0.601,-0.381,-4.541,3.290,27,285
tributyl phosphate,O=P(OCCCC)(OCCCC)OCCCC,0.022,0.350,-0.432,0.708,-4.725,4.192,-80,288.3
peanut oil,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(OC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC,0.574,0.715,-1.027,-1.296,-4.512,3.446,3,225
